Generation,Fitness_Sum_HC_RA,Fitness_Sum_HC,Fitness_Sum_GA_RA,Fitness_Sum_GA,Fitness_Sum_RS
0.1,100414.24662006239,91841.70440515105,49936.26664044767,42292.34123967118,113463.50975694339
0.2,115689.77346257337,114494.0891476382,71281.64850414621,55083.310350931046,127887.97275994984
0.30000000000000004,120982.48476706095,135422.34793266206,88658.94320020286,71489.68038530533,148395.36374211768
0.4,148398.1242121532,149749.24614447408,107023.3781910069,80507.02149281131,166922.11393974407
0.5,161370.71182500364,180209.07145322728,122403.9373755077,93927.73698145618,187382.53264781294
0.6,182652.45869384147,184586.4505782384,142838.81193677837,103824.53547244145,211770.2349728441
0.7000000000000001,197326.93125751597,201737.86015427805,159617.65665071362,120357.82202419655,217031.92231317615
0.8,214287.46880976093,226236.51923610992,183883.54544377475,139949.7147420024,247313.54487125736
0.9,226363.1119151597,252105.37075134553,195593.9092609008,146826.23927574474,268946.7976119939
1.0,245936.96788562776,266252.9837834792,220194.71019554842,163587.17277608236,280720.87088538473
Fitness Improvement(%),40.59575465143928,43.53570127374759,24.122507730059507,0.0,48.32838053584333
